City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,kapuskasing,49.4169,-82.4331,19.0,63,87,2.57,CA,1688843471
242,khed,17.7167,73.3833,25.64,91,98,3.59,IN,1688843471
243,berbera,10.4396,45.0143,34.52,38,45,8.96,SO,1688843472
244,punta arenas,-53.15,-70.9167,4.06,75,0,3.09,CL,1688843472
245,la'ie,21.6477,-157.9253,27.98,66,68,4.47,US,1688843472
246,veraval,20.9,70.3667,27.75,84,58,5.76,IN,1688843473
247,severo-yeniseyskiy,60.3725,93.0408,18.07,62,96,1.75,RU,1688843473
248,kontagora,10.3999,5.4695,26.41,72,46,2.55,NG,1688843301
249,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,0.0,RU,1688843473
250,carry-le-rouet,43.3314,5.1524,31.95,54,0,3.09,FR,1688843473
251,kirillov,59.863,38.3813,15.01,75,91,1.97,RU,1688843474
252,pointe-noire,-4.7761,11.8635,21.6,85,99,2.53,CG,1688843474
253,thunder bay,48.4001,-89.3168,18.61,46,49,2.1,CA,1688843313
254,wynyard,-41.0,145.7167,8.32,88,100,6.21,AU,1688843474
255,yemel'yanovo,56.1681,92.6767,15.6,100,0,0.0,RU,1688843475
256,chepo,9.1667,-79.1,31.23,78,100,2.67,PA,1688843475
257,vyazemskiy,47.5378,134.7525,18.84,88,1,1.59,RU,1688843475
258,lupane,-18.9315,27.807,13.09,53,0,2.77,ZW,1688843476
259,rosetta,31.4044,30.4164,25.9,80,0,7.71,EG,1688843476
260,quellon,-43.1167,-73.6167,9.14,87,100,6.69,CL,1688843476
261,panshi,42.9422,126.0561,16.73,93,50,1.4,CN,1688843181
262,mulayjah,27.271,48.4242,34.61,22,20,0.9,SA,1688843477
263,tha khanon,9.0302,98.9529,25.71,94,98,0.93,TH,1688843477
264,vettaikkaranpudur,10.5667,76.9333,24.11,80,99,3.36,IN,1688843477
265,gounou gaya,9.6294,15.5132,27.37,64,74,1.66,TD,1688843477
266,leava,-14.3,-178.1667,27.08,76,100,7.63,WF,1688843478
267,papao,-17.75,-149.55,27.82,82,99,9.22,PF,1688843478
268,las lomitas,-24.7096,-60.593,27.54,53,27,1.71,AR,1688843478
269,shihezi,44.3,86.0333,23.77,45,81,1.23,CN,1688843478
270,margaret river,-33.95,115.0667,14.36,76,100,6.05,AU,1688843478
271,sal rei,16.1833,-22.9167,27.11,78,75,6.69,CV,1688843339
272,katsuura,35.1333,140.3,26.01,91,100,11.3,JP,1688843479
273,nikolayevsk-on-amure,53.1406,140.73,16.93,97,94,1.19,RU,1688843479
274,allonnes,47.9674,0.1581,28.02,51,0,2.57,FR,1688843479
275,xunchang,28.4543,104.715,24.2,81,99,1.56,CN,1688843480
276,daru,-9.0763,143.2092,25.19,87,100,7.01,PG,1688843480
277,san patricio,28.017,-97.5169,36.76,49,89,6.75,US,1688843480
278,la gi,10.6667,107.7833,26.75,86,100,1.42,VN,1688843480
279,sierra grande,-41.606,-65.3557,7.52,75,100,4.45,AR,1688843480
280,shahpura,27.3833,75.9667,28.56,75,53,2.76,IN,1688843481
281,marshall,34.3834,-86.3333,30.99,88,100,0.0,US,1688843481
282,diu,20.7141,70.9822,27.43,85,39,5.98,IN,1688843481
283,jurilovca,44.7667,28.8667,18.91,66,100,12.73,RO,1688843481
284,thuir,42.6329,2.7547,26.58,63,0,3.6,FR,1688843482
285,inirida,3.8653,-67.9239,28.31,82,62,0.51,CO,1688843482
286,lata,40.1629,-8.3327,21.71,53,1,3.46,PT,1688843483
287,alta,69.9689,23.2717,15.59,67,51,0.0,NO,1688843483
288,vernon,50.2581,-119.2691,31.07,27,4,0.45,CA,1688843410
289,boldesti-scaeni,45.0333,26.0333,21.94,88,97,1.85,RO,1688843484
290,pishva,35.308,51.7267,32.79,16,7,5.65,IR,1688843484
291,cabo san lucas,22.8909,-109.9124,35.9,55,0,5.14,MX,1688843485
292,kristiansund,63.1115,7.732,19.03,72,0,5.14,NO,1688843485
293,vallegrande,-18.4897,-64.1069,21.52,48,7,4.01,BO,1688843477
294,constantia,44.1833,28.65,18.38,69,100,12.17,RO,1688843485
295,olinda,-8.0089,-34.8553,26.85,83,40,2.06,BR,1688843486
296,mariental,-24.6333,17.9667,13.84,43,0,5.59,NA,1688843486
297,geraldton,-28.7667,114.6,8.23,93,0,4.63,AU,1688843486
298,tchollire,8.4022,14.1698,25.31,72,77,1.59,CM,1688843487
299,kingston,17.997,-76.7936,32.91,68,9,1.34,JM,1688843400
300,camayenne,9.535,-13.6878,27.08,75,100,3.88,GN,1688843487
301,puerto real,36.5282,-6.1901,30.34,69,0,6.17,ES,1688843487
302,saint-philippe,-21.3585,55.7679,20.77,78,62,4.74,RE,1688843488
303,chulakkurgan,43.765,69.1814,25.71,31,10,1.54,KZ,1688843488
304,hainburg an der donau,48.1463,16.945,26.36,55,100,3.11,AT,1688843488
305,puerto baquerizo moreno,-0.9,-89.6,25.27,75,45,6.78,EC,1688843489
306,sechura,-5.5569,-80.8222,27.45,58,55,4.05,PE,1688843489
307,lamu,-2.2717,40.902,25.12,83,29,7.05,KE,1688843489
308,sisimiut,66.9395,-53.6735,11.0,79,100,1.9,GL,1688843489
309,abbeville,50.1,1.8333,20.98,97,100,2.24,FR,1688843351
310,laojunmiao,39.8333,97.7333,23.18,23,30,2.85,CN,1688843490
311,new plymouth,-39.0667,174.0833,13.23,91,100,3.09,NZ,1688843366
312,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1688843490
313,bovril,-31.3431,-59.4451,17.17,79,100,3.2,AR,1688843491
314,nanao,37.05,136.9667,22.99,98,100,3.53,JP,1688843491
315,gebeit,21.0667,36.3167,31.07,31,5,2.07,SD,1688843491
316,sitka,57.0531,-135.33,16.94,67,0,7.72,US,1688843492
317,esfarayen,37.0765,57.5101,24.68,19,0,2.79,IR,1688843492
318,susuman,62.7833,148.1667,14.5,70,100,4.72,RU,1688843492
319,cidreira,-30.1811,-50.2056,16.46,86,100,4.29,BR,1688843492
320,sao vicente,-23.9631,-46.3919,30.1,63,99,4.44,BR,1688843492
321,vanimo,-2.6741,141.3028,24.17,92,100,2.0,PG,1688843493
322,kone,-21.0595,164.8658,18.18,93,77,1.21,NC,1688843493
323,manta,-0.95,-80.7333,26.67,78,97,8.05,EC,1688843251
324,tangalle,6.024,80.7911,29.09,84,30,4.75,LK,1688843493
325,opuwo,-18.0607,13.84,18.12,27,0,3.63,NA,1688843494
326,kerikeri,-35.2268,173.9474,12.73,94,100,0.89,NZ,1688843494
327,saint-felicien,48.6501,-72.4491,27.28,60,100,2.15,CA,1688843494
328,ribadesella,43.4614,-5.0596,21.08,87,80,2.57,ES,1688843494
329,diawara,15.022,-12.5437,37.0,34,11,2.89,SN,1688843494
330,mahajanga,-15.7167,46.3167,24.15,50,33,5.75,MG,1688843495
331,gillette,44.2911,-105.5022,23.51,47,20,5.14,US,1688843304
332,westhill,57.1526,-2.2797,18.01,85,20,5.66,GB,1688843495
333,vieste,41.8825,16.175,24.42,52,0,3.61,IT,1688843495
334,dunedin,-45.8742,170.5036,9.33,93,100,1.34,NZ,1688843496
335,atar,20.5169,-13.0499,40.9,11,7,7.1,MR,1688843496
336,sumbawanga,-7.9667,31.6167,13.55,56,1,0.63,TZ,1688843496
337,apolinario saravia,-24.4328,-63.9954,19.09,67,100,2.54,AR,1688843496
338,erenhot,43.6475,111.9767,20.73,49,3,2.05,CN,1688843496
339,callao,-12.0667,-77.15,23.16,60,0,7.72,PE,1688843497
340,hadibu,12.65,54.0333,25.87,71,51,7.46,YE,1688843497
341,gorontalo,0.5412,123.0595,23.6,91,67,0.85,ID,1688843497
342,radhanpur,23.8333,71.6,28.91,81,100,8.23,IN,1688843497
343,laiyang,36.9758,120.7136,23.65,98,22,1.74,CN,1688843497
344,masterton,-40.9597,175.6575,9.94,98,100,2.59,NZ,1688843498
345,kurumkan,54.3,110.3,17.21,84,100,1.3,RU,1688843498
346,prainha,-1.8,-53.48,31.52,50,89,2.39,BR,1688843410
347,manokwari,-0.8667,134.0833,24.31,93,100,1.33,ID,1688843498
348,coahuayana de hidalgo,18.7,-103.6583,24.58,95,100,1.7,MX,1688843499
349,natal,-5.795,-35.2094,28.36,74,75,5.66,BR,1688843325
350,harstad,68.799,16.5293,12.66,100,100,2.68,NO,1688843499
351,noosa heads,-26.3833,153.15,7.28,61,6,3.38,AU,1688843499
352,songea,-10.6833,35.65,18.26,49,100,1.37,TZ,1688843499
353,shimoda,34.6667,138.95,25.61,95,100,8.73,JP,1688843500
354,khanpur,28.6453,70.6567,31.59,58,10,1.64,PK,1688843500
355,hasaki,35.7333,140.8333,27.22,88,100,8.57,JP,1688843500
356,berezovyy,51.6667,135.7,18.13,91,27,0.7,RU,1688843500
357,gao,16.6362,1.637,35.63,25,80,8.79,ML,1688843500
358,slavyanka,42.8633,131.3847,17.66,98,73,1.57,RU,1688843501
359,plastun,44.7561,136.2939,18.78,85,12,2.04,RU,1688843501
360,al jaradiyah,16.5795,42.9124,33.5,49,100,2.94,SA,1688843501
361,caconda,-13.7333,15.0667,15.03,27,5,1.24,AO,1688843501
362,aginskoye,51.1,114.53,14.76,94,84,2.43,RU,1688843502
363,maridi,4.9158,29.4742,19.25,94,7,0.94,SS,1688843502
